id,neighbourhood_group,room_type,price,rating,bedrooms,beds,baths,reviews_per_month,price_pred,residual,RPI,EI,RPI_by_neigh_group,latitude,longitude
650494137473244378,Brooklyn,Entire home/apt,208,4.96,3,3,1.5,1.36,279.27604973214636,-71.27604973,-0.690294141,0.099484156,-0.748574528,40.68171,-73.91911
49887317,Brooklyn,Entire home/apt,115,4.85,1,1,1.0,0.41,148.12977882963852,-33.12977883,-0.320855214,0.029476787,-0.347944487,40.69007,-73.95647
594818355675207868,Brooklyn,Private room,150,4.5,1,1,1.0,3.33,78.37840594,71.62159406,0.6936406680632751,0.2446573323327445,0.7522035966405675,40.68549,-73.9101
14710763,Brooklyn,Shared room,102,4.8,1,2,1.0,3.34,96.50625114891182,5.493748851088185,0.053205847668392,0.2453942520084455,0.057697928943819,40.69693,-73.9455
46120125,Brooklyn,Private room,38,,1,1,2.0,0.06,,,,0.003684598,,40.68925,-73.94184
3989564,Brooklyn,Private room,135,4.66,1,2,1.0,2.96,103.29832832918352,31.701671670816467,0.3070242851410588,0.2173913043318061,0.332945835174166,40.68143,-73.94275
46269173,Brooklyn,Shared room,50,4.4,1,1,1.0,0.13,61.63920216168911,-11.63920216,-0.112723321,0.008843036,-0.122240364,40.69501,-73.94388
617305732779485628,Brooklyn,Private room,50,4.63,1,1,2.0,4.28,133.5586183211767,-83.55861832,-0.809248336,0.314664701524343,-0.877571828,40.68298,-73.91946
52894720,Brooklyn,Shared room,32,,1,2,2.0,0.08,,,,0.005158438,,40.68826,-73.91027
649246512788760355,Brooklyn,Entire home/apt,364,4.55,3,8,2.5,0.72,403.5177505359638,-39.51775054,-0.38272143,0.052321297,-0.415033964,40.67909,-73.94404
600705397043965626,Manhattan,Private room,38,,1,1,1.0,0.06,,,,0.000662427,,40.81743,-73.9401
52804286,Brooklyn,Entire home/apt,235,4.38,2,2,1.0,1.01,179.49552847647374,55.50447152352626,0.5375495926080649,0.073691968,0.5829340111522541,40.68868,-73.92021
3587219,Manhattan,Entire home/apt,120,4.97,0,1,1.0,0.42,163.93132049956714,-43.9313205,-0.425465963,0.005431902,-0.343718712,40.72974,-74.00706
752287825953484449,Brooklyn,Private room,75,4.71,1,1,2.0,0.52,136.87432718769503,-61.87432719,-0.599240358,0.0375829034607529,-0.649833225,40.6878,-73.90767
661489424483343369,Brooklyn,Entire home/apt,53,4.38,2,2,1.0,3.29,179.49552847647374,-126.4955285,-1.225083636,0.2417096536299403,-1.328515411,40.68009,-73.94808
49152044,Manhattan,Entire home/apt,168,4.67,1,1,1.0,0.31,184.0544468331227,-16.05444683,-0.155484074,0.003974563,-0.125610014,40.73666,-73.98084
644311938371273827,Brooklyn,Entire home/apt,366,5.0,2,4,1.5,0.28,266.66537423703727,99.33462576296272,0.9620357809932568,0.019896831243928,1.043258862806527,40.68613,-73.9643
26655705,Bronx,Entire home/apt,122,4.91,2,4,1.0,2.08,208.6840597138783,-86.68405971,-0.839517605,0.2816326530229071,-1.300565292,40.8615,-73.83775
49902236,Manhattan,Private room,56,5.0,1,1,2.0,0.31,192.2787847819744,-136.2787848,-1.319832497,0.003974563,-1.0662454,40.82501,-73.94417
59014,Manhattan,Entire home/apt,160,4.67,1,1,1.0,0.38,184.0544468331227,-24.05444683,-0.232962458,0.004901961,-0.188202025,40.71946,-73.98641
47825830,Brooklyn,Entire home/apt,185,4.25,3,3,3.0,0.13,324.53741174914904,-139.5374117,-1.351391641,0.008843036,-1.465487391,40.68099,-73.94333
51982952,Brooklyn,Entire home/apt,109,4.42,2,2,1.0,0.98,181.1533829097329,-72.15338291,-0.698790936,0.071481209,-0.757788693,40.68915,-73.9441
27018851,Brooklyn,Entire home/apt,125,4.85,2,4,1.0,2.97,235.55232737653105,-110.5523274,-1.070676955,0.2181282240075071,-1.16107243,40.63535,-74.01942
1002217051026941997,Queens,Private room,199,4.25,1,1,1.0,1.69,44.74938647359225,154.25061352640773,1.4938860272818792,0.1008403361284009,2.170795759364366,40.69183174731863,-73.8076760004244
15234773,Manhattan,Private room,94,4.91,1,1,1.0,0.4,138.7564268355727,-44.75642684,-0.433456951,0.005166932,-0.350174345,40.73228,-73.98636
38625308,Manhattan,Entire home/apt,80,5.0,1,1,1.0,0.11,197.73174590751088,-117.7317459,-1.140208173,0.001324854,-0.921133343,40.75974,-73.96154
1013402113840724461,Manhattan,Entire home/apt,432,4.91,4,5,1.5,5.32,389.7227885359843,42.27721146401569,0.4094462513611069,0.070349762,0.3307769609155401,40.72708635410679,-73.98555788775373
39483728,Manhattan,Private room,65,4.33,1,1,2.0,0.07,164.5097230248834,-99.50972302,-0.963731563,0.000794913,-0.77856421,40.79954,-73.96146
41895103,Manhattan,Entire home/apt,275,3.67,2,3,1.0,0.11,211.7421299,63.25787011,0.6126396913872396,0.001324854,0.4949296631234312,40.78117,-73.94656
751700816595778928,Brooklyn,Entire home/apt,180,4.75,3,3,2.0,3.1,295.4684067,-115.4684067,-1.11828819,0.2277081797916206,-1.212703403,40.6804137,-73.91795599999999
963888047601554678,Manhattan,Entire home/apt,150,4.57,2,2,1.0,3.13,230.7553499876052,-80.75534999,-0.782099249,0.0413354530996113,-0.63182997,40.73059,-74.00333
1040156,Manhattan,Entire home/apt,713,4.91,2,3,2.0,1.36,312.92780279650776,400.07219720349224,3.874618399517281,0.017885533,3.130165423762583,40.74519,-73.99592
32822093,Bronx,Entire home/apt,140,4.94,1,1,1.0,3.1,122.50490199193018,17.495098008069817,0.1694364895068194,0.4204081632081077,0.2624879052760121,40.8634,-73.84741
692931991563879774,Bronx,Entire home/apt,125,4.94,1,1,1.0,1.87,122.50490199193018,2.4950980080698173,0.0241645200997652,0.2530612244553658,0.0374352318172667,40.84408,-73.86753
11452989,Manhattan,Private room,43,4.89,1,1,1.0,1.11,137.9274996189431,-94.92749962,-0.919353655,0.014573397,-0.742712888,40.82346,-73.95506
52836962,Manhattan,Entire home/apt,170,4.8,2,4,2.0,0.25,326.6572077596761,-156.6572078,-1.517193406,0.00317965,-1.22568621,40.76397,-73.98558
6576336,Queens,Private room,71,4.85,0,1,1.0,1.19,37.06016838948042,33.93983161051958,0.3287004119603019,0.070828331,0.4776411636188047,40.69178,-73.8385
560078,Manhattan,Private room,240,4.9,2,2,1.0,0.99,189.1875024648883,50.81249754,0.4921087724944879,0.0129835718069292,0.3975570509303371,40.72369,-73.97849
848539370924359370,Queens,Private room,35,4.44,1,1,1.0,1.65,52.62419503157331,-17.62419503,-0.170686768,0.098439376,-0.248028367,40.7585109117321,-73.73210694640875
48527525,Manhattan,Private room,55,5.0,1,1,1.0,0.18,142.4865993104058,-87.48659931,-0.847290039,0.002252252,-0.684495274,40.82466,-73.94606
658823746785457272,Bronx,Private room,75,4.63,1,2,1.0,1.81,72.69988819169762,2.3001118083023755,0.0222761181499377,0.244897959,0.0345097541142518,40.81880600270095,-73.92690271606779
878174846329432963,Manhattan,Entire home/apt,246,,2,2,1.0,0.88,,,,0.0115262321143147,,40.74218087355828,-73.9984576751882
639694558611399338,Manhattan,Private room,151,4.91,1,1,1.0,1.2,138.7564268355727,12.24357316442729,0.1185765324117512,0.0157657657655568,0.095793733,40.78988,-73.94155
1025026416481257890,Manhattan,Entire home/apt,319,5.0,2,2,1.0,5.0,248.57728514514125,70.42271485485875,0.682029765,0.066110228,0.5509874183385471,40.72800687764104,-74.0011318610826
789054232678927551,Manhattan,Entire home/apt,550,4.6,1,1,1.0,0.4,181.15320157491917,368.8467984250808,3.5722067211132504,0.005166932,2.8858578605712673,40.80086470062733,-73.96076392382383
53496107,Manhattan,Entire home/apt,168,4.58,0,3,1.0,2.96,184.3442490845524,-16.34424908,-0.15829075,0.039083201,-0.127877427,40.74614,-73.98906
814152493798462336,Manhattan,Entire home/apt,392,,3,3,2.0,0.25,,,,0.00317965,,40.74442991447389,-73.98932890781347
52637377,Manhattan,Private room,57,4.43,1,2,1.0,4.74,137.15067829109373,-80.15067829,-0.776243126,0.062665607,-0.627099018,40.74924,-73.99823
45595993,Manhattan,Entire home/apt,130,4.74,1,1,1.0,1.1,186.95569209132628,-56.95569209,-0.551604371,0.0144409114995437,-0.445621414,40.71958,-73.99391
698672087827554947,Brooklyn,Entire home/apt,75,4.14,1,1,1.0,0.47,118.70286263928833,-43.70286264,-0.423253395,0.0338983050822477,-0.458987976,40.67143,-73.92856
35409062,Bronx,Private room,99,5.0,1,1,1.0,0.11,69.74653704471386,29.25346295528614,0.2833138783660852,0.0136054421750196,0.4389046697343209,40.86091,-73.90002
565252455567607000,Bronx,Entire home/apt,82,5.0,1,1,1.0,1.41,124.9916836418189,-42.99168364,-0.41636577,0.1904761904502753,-0.645026223,40.84008,-73.85917
13864551,Manhattan,Private room,99,4.62,1,1,1.0,1.24,126.73698219444373,-27.73698219,-0.268627069,0.0162957074719621,-0.217014187,40.72505,-73.9837
50114923,Manhattan,Entire home/apt,180,3.82,0,1,1.0,1.26,116.26800554336609,63.73199445663391,0.6172314899303483,0.0165606783251648,0.4986392126972195,40.72663,-73.98299
786182923448059288,Manhattan,Entire home/apt,155,4.85,1,1,1.0,1.06,191.51479178278896,-36.51479178,-0.353638381,0.0139109697931384,-0.285691781,40.72483936683904,-73.98217243997304
780012544575763338,Manhattan,Entire home/apt,150,4.57,1,1,1.0,3.62,179.9098107499748,-29.90981075,-0.289670474,0.047827239,-0.234014401,40.75894848549326,-73.97584564983845
53959024,Manhattan,Private room,168,3.63,1,2,1.0,0.65,103.9935896259104,64.00641037,0.6198891526480437,0.008479067,0.5007862432145963,40.75533,-73.99858
48300185,Manhattan,Entire home/apt,140,4.86,2,2,2.0,0.22,292.56698010030277,-152.5669801,-1.477580378,0.002782194,-1.193684263,40.7593,-73.9597
18274232,Manhattan,Private room,141,4.94,1,1,1.0,0.86,139.9998176605171,1.0001823394829046,0.009686564,0.011261261261112,0.007825428,40.76802,-73.98399
873760440325280092,Manhattan,Entire home/apt,85,4.78,2,3,1.0,3.05,257.7475904168469,-172.7475904,-1.673025511,0.04027557,-1.351577386,40.8226206542554,-73.93999912617868
38584270,Manhattan,Entire home/apt,130,4.62,2,2,1.0,0.25,232.8276680291791,-102.827668,-0.99586519,0.00317965,-0.804523817,40.7593,-73.96107
812339945517401441,Manhattan,Entire home/apt,144,,1,2,1.0,0.71,,,,0.00927398,,40.76571720642184,-73.98174756939706
1072481,Manhattan,Private room,100,4.64,1,2,1.0,2.35,145.85441406570436,-45.85441407,-0.444090736,0.0310015898247085,-0.358764999,40.74424,-73.99573
45897458,Staten Island,Entire home/apt,269,4.82,3,4,3.0,2.5,327.7519482234578,-58.75194822,-0.569000748,0.2582987551599275,-0.815210413,40.63383,-74.08373
54262629,Manhattan,Entire home/apt,125,4.27,2,2,1.0,0.48,218.32144173816144,-93.32144174,-0.903799309,0.006226815,-0.730147089,40.76037,-73.96219
38875424,Manhattan,Entire home/apt,110,4.93,1,2,1.0,0.32,213.11900530393837,-103.1190053,-0.998686732,0.004107048,-0.80680324,40.769524,-73.956451
774669212621922223,Manhattan,Private room,220,,1,1,1.0,0.15,,,,0.001854796,,40.77003,-73.95602
40704904,Manhattan,Entire home/apt,299,4.6,2,1,1.0,0.1,213.7102361579185,85.28976384,0.8260141309068195,0.001192369,0.6673072301587084,40.74782,-74.00348
50685205,Manhattan,Entire home/apt,828,4.8,2,2,2.0,1.71,290.0801985,537.9198015,5.209644596944043,0.022522523,4.208685270652049,40.75329,-74.00192
573004455033653038,Manhattan,Entire home/apt,250,5.0,1,2,1.0,0.51,216.0202505621419,33.97974943785809,0.3290870080530962,0.006624271,0.265857607,40.764503,-73.984047
23292216,Manhattan,Entire home/apt,126,4.89,2,2,1.0,0.9,244.0181854536785,-118.0181855,-1.142982282,0.0117912029675173,-0.923374446,40.71953,-73.98284
50488088,Manhattan,Entire home/apt,141,5.0,1,1,1.0,0.26,197.73174590751088,-56.73174591,-0.549435497,0.003312136,-0.443869258,40.79002,-73.97097
54328203,Manhattan,Entire home/apt,165,5.0,1,1,1.0,0.14,197.73174590751088,-32.73174591,-0.317000346,0.001722311,-0.256093225,40.77697,-73.95389
1035014129071221304,Manhattan,Entire home/apt,120,5.0,1,2,1.0,3.0,216.0202505621419,-96.02025056,-0.929936727,0.0396131425537942,-0.751262573,40.74542,-74.0027
14843553,Manhattan,Entire home/apt,239,4.96,0,1,1.0,1.58,163.51685689125236,75.48314310874764,0.7310389904295223,0.0208002119764069,0.5905802159897603,40.75166,-73.99852
866518628279065718,Manhattan,Entire home/apt,92,,2,3,1.0,1.0,,,,0.0131160572335305,,40.78330118433245,-73.94552778023387
802377045238320852,Queens,Entire home/apt,425,,3,4,1.0,0.17,,,,0.009603842,,40.69261,-73.78514
40946694,Manhattan,Entire home/apt,129,4.6,1,1,1.0,0.1,181.15320157491917,-52.15320157,-0.50509322,0.001192369,-0.408046721,40.77077102661133,-73.95748138427734
33162983,Manhattan,Entire home/apt,227,4.79,4,6,2.0,0.25,427.9338226266221,-200.9338226,-1.946003476,0.00317965,-1.572106506,40.799744,-73.961494
53531890,Manhattan,Entire home/apt,107,,0,3,1.0,0.05,,,,0.000529942,,40.74652,-73.98849
17378609,Brooklyn,Private room,51,4.95,1,2,1.0,3.9,115.31777297031248,-64.31777297,-0.622904636,0.2866617538477036,-0.675495439,40.61645,-73.91542
42735424,Manhattan,Entire home/apt,160,,1,2,1.0,0.08,,,,0.000927398,,40.78384,-73.94855
751279777674158700,Manhattan,Private room,59,4.89,1,1,1.0,4.02,137.9274996189431,-78.92749962,-0.764396887,0.053126656,-0.617528866,40.76996,-73.95752
53623779,Manhattan,Entire home/apt,160,4.64,1,1,1.0,2.02,182.81105600817833,-22.81105601,-0.220920469,0.026629571,-0.178473734,40.7818029,-73.9476236
887698137449826556,Manhattan,Entire home/apt,99,,1,2,1.0,0.47,,,,0.00609433,,40.7894,-73.94402
46833665,Manhattan,Entire home/apt,125,4.58,1,2,1.0,1.54,198.61277901292067,-73.61277901,-0.712924892,0.0202702702700017,-0.575946485,40.76119,-73.96379
47360356,Manhattan,Entire home/apt,260,,3,3,2.0,0.07,,,,0.000794913,,40.77732,-73.9523
773899230684455375,Brooklyn,Private room,120,4.79,1,1,1.0,1.01,90.39785058264476,29.602149417355236,0.2866908363027755,0.073691968,0.3108956670504179,40.6814,-73.8921
30510228,Manhattan,Private room,384,4.95,1,1,1.0,0.97,140.41428126883187,243.58571873116813,2.359078472,0.012718601,1.9058149999532392,40.729595,-74.000618
848220,Manhattan,Entire home/apt,130,4.66,1,1,1.0,3.24,183.6399832248079,-53.63998322,-0.5194924,0.042792793,-0.419679303,40.76535,-73.95841
827462961830020987,Manhattan,Entire home/apt,96,4.33,2,2,1.0,0.47,220.8082233880502,-124.8082234,-1.208742427,0.00609433,-0.976499712,40.79413343522467,-73.94371354721102
12051116,Manhattan,Entire home/apt,199,4.89,1,1,1.0,0.4,193.17264621604812,5.827353783951878,0.056436744,0.005166932,0.0455932240582428,40.79914,-73.96288
12606349,Manhattan,Entire home/apt,86,4.76,2,4,1.0,0.28,275.2071678548483,-189.2071679,-1.832433193,0.003577107,-1.480357143,40.78965,-73.94329
38291768,Manhattan,Entire home/apt,600,4.82,2,2,2.0,0.33,290.9091256670436,309.0908743329564,2.9934826693398273,0.004239534,2.418327427900365,40.75421,-73.96601
945201137880063700,Queens,Shared room,91,,1,1,1.0,0.37,,,,0.0216086434560859,,40.69464,-73.83337
18345358,Bronx,Private room,52,4.8,1,1,1.0,0.07,61.457264878418016,-9.457264878,-0.0915917,0.008163265,-0.141892183,40.88359,-73.86305
817540327186766705,Brooklyn,Entire home/apt,120,4.92,2,3,1.0,1.18,220.16506798010352,-100.165068,-0.970078446,0.086219602,-1.051980557,40.64363,-73.90577
38575482,Manhattan,Entire home/apt,109,5.0,0,1,1.0,0.09,165.17471132451152,-56.17471132,-0.54404073,0.001059883,-0.439511019,40.76103,-73.9609
36147561,Manhattan,Entire home/apt,299,4.68,1,1,1.0,2.95,184.46891044143752,114.53108955856248,1.1092104625672417,0.0389507154207876,0.8960914029717759,40.71911,-73.99121
46827277,Manhattan,Entire home/apt,194,4.61,2,3,1.0,3.38,250.70170907549544,-56.70170908,-0.549144596,0.0446475887646443,-0.44363425,40.74207166644471,-73.9989543477768
